ID	DPP	PROD	CC
cochina	289	4,5	CUATRO
carta_ajena	428	8,1	CUATRO
almendron	111	2,3	DOS
caimana	15	2,5	DOS
barquilla	91	2,6	DOS
noche_oscura	35	2,75	DOS
valentina	180	2,8	DOS
colonia	300	2,8	DOS
onotero	47	3	DOS
onotero	68	3,1	DOS
barquilla	98	3,9	DOS
palometa	217	4	DOS
manzanita	58	4,2	DOS
tapirama	316	4,2	DOS
carnaval_	56	4,5	DOS
tapirama	288	4,75	DOS
conotero	40	4,8	DOS
corbata	235	4,8	DOS
caimana	43	4,9	DOS
pionia	183	4,9	DOS
valentina	187	4,9	DOS
negra_libre	334	5	DOS
caramelo	10	5,1	DOS
pionia	204	5,1	DOS
corbata	242	5,2	DOS
arrendajo	21	5,25	DOS
manzanita	37	5,4	DOS
patuleca	186	5,4	DOS
corbata	263	5,4	DOS
caimana	22	5,5	DOS
colombiana	100	5,5	DOS
cara_sucia	430	5,5	DOS
vicentica	246	5,6	DOS
turpial	130	5,7	DOS
vicentica	267	5,7	DOS
servilleta	77	5,75	DOS
rancho_mio	196	5,8	DOS
cajuba	296	5,8	DOS
corocora	107	5,9	DOS
palo_de_agua	74	6	DOS
tortolita	93	6	DOS
garzita	181	6	DOS
cigarron	216	6	DOS
barcelona	134	6,05	DOS
colombiana	72	6,1	DOS
palo_de_agua	55	6,2	DOS
barcelona	162	6,3	DOS
medio_gancho	15	6,5	DOS
azucena	38	6,5	DOS
rosa_blanca	90	6,5	DOS
corocora	114	6,5	DOS
ayudita	125	6,5	DOS
corocora	135	6,5	DOS
orinoco	269	6,5	DOS
medio_gancho	43	6,6	DOS
almendron	90	6,6	DOS
orinoco	276	6,7	DOS
corazon	24	6,8	DOS
colombiana	79	6,9	DOS
neblina	286	6,9	DOS
barcelona	141	7	DOS
flor_de_mayo	233	7,2	DOS
catalana	243	7,2	DOS
oro_negro	185	7,4	DOS
cocacola	201	7,4	DOS
por_ti_vine	84	7,5	DOS
carateca	101	7,5	DOS
chivita	202	7,5	DOS
cigarron	209	7,5	DOS
topacia	46	7,6	DOS
jugarrete	35	7,9	DOS
cachito	93	8	DOS
carta_ajena_	407	8	DOS
canastilla	35	8,1	DOS
paloma	165	8,1	DOS
juanita	35	8,2	DOS
servilleta	56	8,25	DOS
carateca	108	8,4	DOS
juanita	28	8,5	DOS
palo_de_agua_3411	102	8,5	DOS
cocacola	173	8,5	DOS
doñita	101	8,6	DOS
paloma	144	8,6	DOS
pan_quemado	248	8,6	DOS
topacia	25	8,7	DOS
cartagena	400	8,7	DOS
canastilla	7	8,75	DOS
chivita	181	8,8	DOS
azucena	45	8,9	DOS
azabache	81	8,9	DOS
carnaval_	84	9	DOS
secretaria	110	9	DOS
humita	138	9	DOS
pan_quemado	220	9	DOS
negra_libre	341	9	DOS
tortolita	121	9,1	DOS
pan_quemado	227	9,1	DOS
fondo_blanco	28	9,25	DOS
muchachita	90	9,25	DOS
rita	38	9,3	DOS
por_ti_vine	63	9,4	DOS
tres_colores	130	9,4	DOS
ayudita	146	9,4	DOS
te_encontre	9	9,5	DOS
fondo_blanco	56	9,5	DOS
patuleca	179	9,5	DOS
azabache	60	9,6	DOS
candelita	70	9,6	DOS
río_crecido	81	9,6	DOS
mandarina	79	9,7	DOS
rebanada	180	9,9	DOS
rebanada	201	9,9	DOS
te_encontre	37	10	DOS
rita	45	10	DOS
orinoco	297	10	DOS
flor_de_mayo	205	10,1	DOS
cafetera	82	10,2	DOS
Carmen_julia	127	10,2	DOS
ayudita	118	10,25	DOS
palo_de_agua_3411	81	10,3	DOS
flor_de_mayo	212	10,3	DOS
carnaval_	63	10,35	DOS
patuleca	207	10,4	DOS
flor_de_apure	141	10,5	DOS
flor_de_hato	146	10,5	DOS
servilleta	49	10,6	DOS
mandarina	51	10,6	DOS
río_crecido	53	10,6	DOS
pelo_de_guama	76	10,6	DOS
rosita	86	10,6	DOS
